Open,High,Low,Volume,Chg%
87909,88248,87627,12655,0.26
26900,26949,26820,8560,-0.12
122904,123579,121901,70110,-0.27
76232,76302,76053,60,-0.02
30253,30350,30145,13500,0.07
94002,95155,91880,38519,-2.47
30393,30393,30220,9130,-0.49
49298,49438,47425,3140,-1.4
51092,51317,50855,6300,-0.12
28416,28497,28283,7400,-0.22
28022,28063,27875,8560,-0.52
71774,73931,71721,41610,0.48
31121,31369,31103,11980,0.24
52033,52451,52002,13180,0.47
52500,52659,51860,55710,-0.99
47920,48034,47790,10820,0.04
29684,29983,29233,330,0.47
54900,55949,54701,40,1.48
62900,63400,62430,160,0.34
47147,47828,47064,29170,1.59
48672,49490,48672,27930,0.9
31220,31238,31075,8690,-0.15
30040,30130,29860,24610,0.27
37740,37948,37735,13050,0.26
26620,26620,26375,26020,-0.94
52801,53000,52000,47420,-1.31
51390,51722,51283,11700,0.32
30731,30910,30455,15510,-0.05
72500,73335,72427,24810,1.08
48200,48937,47809,360,1.55
31310,31428,31191,12100,0.1
59888,60124,59741,7030,0.24
55700,55920,55550,8850,0.29
30211,30347,29834,1040,-0.71
26926,27014,26133,4370,-0.66
28388,28666,28281,26080,0.76
32100,32147,31986,9550,-0.37
129160,129163,128259,26343,-0.27
49961,49961,49124,32650,-1.58
31372,31414,31285,10230,-0.07
33385,33398,33130,8440,-0.63
25475,25970,25172,30780,1.8
38067,38067,37728,19420,-0.42
30518,30597,30270,7860,-0.69
28701,28750,28331,13010,-0.5
50680,50690,50108,30920,-0.84
48321,48765,48200,220,0.74
58582,58741,58487,6650,0.04
30400,30593,30270,8400,0.11
28505,28505,28168,8400,-0.81
71950,72257,71810,11480,0.55
31200,32500,30770,1490,3.94
29388,29459,29350,5660,0.55
50822,51030,50680,9200,0.11
58800,58948,58721,5380,0.07
46050,46343,45751,53030,-0.71
27131,27569,27063,21700,1.32
27013,27280,26916,24400,0.51
110001,110550,109850,38451,0.0
88001,88569,86651,53976,-1.27
30600,30640,30495,20,0.1
30404,30449,30288,5610,-0.22
49180,49915,49152,11920,1.64
47363,47453,47020,35350,-0.45
28664,28680,28530,490,-0.29
37860,38147,36860,41660,-1.44
135687,135850,135001,14622,0.23
58396,58898,58313,13140,0.62
74236,74498,73860,12490,-0.14
46352,46673,46250,36810,-0.42
27496,28429,27496,29380,2.9
29425,29590,29425,9230,0.51
28345,28423,28078,24630,-0.15
57188,57303,56930,7560,-0.08
26960,27019,26825,16350,-0.18
58171,58239,58124,20,0.13
87148,88145,87148,34767,0.73
27168,27188,26910,19320,-0.2
28531,28612,28480,7970,-0.04
38578,39699,38265,31730,-0.24
29894,30220,29894,19270,1.11
132600,133490,132060,54875,0.37
71037,71272,70803,15290,0.28
71315,71427,70537,17530,-0.86
25260,25346,25250,8980,0.23
31256,31335,31166,11470,0.07
87879,87930,87191,17733,-0.54
28950,29039,28922,6380,0.27
32066,32273,32064,12590,0.12
47849,48083,47726,21580,0.43
70595,70776,70189,15270,-0.13
27956,28169,27956,1260,0.33
29780,29860,29754,8690,0.23
53387,54180,51888,70760,0.57
100416,101048,100400,15905,0.43
50589,50760,50525,6960,0.22
47200,47297,47064,15390,-0.11
49200,49237,48960,13690,-0.44
30738,30738,30321,10280,-0.82
29000,29000,28510,33730,-1.65
99350,100238,98960,41357,0.96
40239,40480,39368,72460,-1.28
30285,30285,30004,8630,-0.96
31160,31280,31068,6350,0.31
72052,72300,71400,140,-0.05
26582,26910,26582,130,-0.09
46020,46735,46020,47990,1.41
47800,48159,47706,860,0.52
27624,27678,27535,8400,-0.01
29021,29200,28970,90,-0.54
29481,29635,29481,6280,0.59
38098,38144,37940,10410,-0.4
31130,31218,31087,7060,0.17
31500,31525,31393,5650,-0.2
29236,29625,29236,14790,0.5
30951,31243,30950,12640,0.84
46580,46715,46160,21710,-0.56
75199,75643,75075,15810,0.23
51699,51900,51240,10,1.61
27504,27640,27252,24650,-0.42
25849,25920,25689,20230,0.13
45842,45960,45488,7360,-0.59
31039,31196,30974,10550,0.26
26200,26370,26200,14620,0.37
50545,50783,50435,11780,0.32
28445,28540,27432,31580,-3.25
46090,46263,45903,13910,-0.21
54650,54733,54005,10850,-1.13
46029,46396,45915,15300,0.9
26700,26815,26642,17170,0.22
26510,27078,26462,28450,1.85
24976,25071,24900,2120,-0.04
26931,26931,26377,11020,-1.31
98440,99090,98260,38156,0.32
39500,39500,38645,180,0.21
31670,31839,31635,8630,0.0
48447,48806,48300,21060,0.55
70821,71395,70665,10720,0.54
50292,50525,50087,9110,0.07
29370,29540,29227,13290,0.43
60050,60499,60007,11380,0.47
28792,28792,28687,6690,-0.38
28732,29025,28575,14220,0.41
61115,61211,60922,8990,-0.16
48094,48172,47720,170,0.08
27150,27475,27150,17550,0.74
26828,26828,26690,8430,-0.25
30796,30880,30711,14210,0.03
46499,46782,46030,26090,0.92
28224,28699,28190,260,1.69
27882,27882,27630,16960,-0.95
30936,30994,30920,3910,0.0
125899,127099,125625,50902,1.18
27642,27974,27642,14140,1.03
100810,100810,99630,44871,-1.41
59188,59234,58967,8039,-0.35
30700,30867,30620,7550,0.19
50100,50100,49713,9240,-0.07
51029,51572,50737,320,0.93
26281,26310,26001,18600,-0.54
30942,31165,30891,12600,0.44
132600,134688,132600,52738,1.67
48000,48144,47821,14860,0.14
69783,70313,69043,580,-0.04
27351,27538,27230,14470,-0.24
48368,48538,48296,8930,0.01
71400,71990,71290,16900,0.63
30590,30749,30522,12330,0.23
29165,29250,29090,12580,0.06
26698,26698,25801,170,-0.79
40510,40510,40243,17790,-0.63
37874,38400,37840,150,0.93
44902,45018,44750,18240,0.06
121799,124100,121799,64150,2.35
27660,27835,27578,170,0.46
51451,51468,51060,8290,-0.58
71403,71718,71281,14010,0.47
27850,28150,27753,14380,0.55
71524,72250,71496,180,1.13
27890,28050,27686,18230,-0.39
53860,54085,53704,8680,0.39
86746,87796,86530,26749,1.19
47542,47588,47371,6430,-0.05
62355,62948,62355,12200,0.64
28132,28326,28083,11750,0.31
49304,49304,48100,70,-0.21
121759,121899,119270,69968,-2.08
28645,28665,28542,5630,-0.07
59570,59690,59301,9040,-0.11
49095,49298,48780,46250,-0.54
29611,29776,29611,3930,0.17
30799,30836,30721,4810,-0.1
27800,27825,27671,14010,0.05
75502,75588,74644,26010,-0.62
27782,27848,27435,22610,-1.17
50710,51030,50411,12500,0.28
28627,28692,28226,20040,-1.1
28623,28623,28447,2230,-0.26
51752,52448,51366,120,1.37
47299,47500,47295,10,0.62
59650,59739,59505,7000,0.08
31550,31590,31359,390,-0.11
86089,86148,85400,24359,0.18
29650,29706,29530,7990,-0.17
49840,49950,49599,3650,0.32
26920,27164,26756,21560,0.8
28434,28589,28421,6630,0.43
29285,29349,29190,8980,-0.31
31535,31620,31400,60,0.2
38240,38240,37715,890,-0.12
28025,28025,27550,17840,-1.71
28796,28933,28778,4330,0.58
41451,42176,40115,40080,1.35
29999,29999,29671,7920,0.14
31699,31720,31574,10610,-0.39
85730,86350,85610,25200,-0.03
29063,29148,29023,7270,0.1
61960,62377,61850,7840,0.25
85498,85875,84436,36373,-0.23
28300,28300,27925,3240,-1.21
29332,29385,29275,1580,-0.16
27150,27546,26731,50280,1.04
39750,40950,38700,82570,1.85
30830,30970,30825,40,-0.12
28522,28550,28380,7940,0.15
58656,58700,58454,9340,-0.39
30169,30210,30035,7170,-0.15
47150,47422,47027,9100,0.11
50696,50920,50200,16460,-0.19
44200,44740,43829,61170,0.48
44703,45380,44441,310,1.35
26170,26444,26170,16219,0.85
29682,29929,29682,22120,1.12
50355,50449,50270,1110,-0.08
55150,55150,51929,80850,-5.61
46890,46890,46430,22890,-0.32
46890,46890,46471,17680,-0.56
24850,24850,24591,20050,-0.88
30856,31158,30830,10100,0.6
71111,71743,71011,15740,0.93
32383,32570,32383,10900,0.61
26367,26756,26367,24600,1.02
50550,50980,50200,16590,0.63
56690,57076,56665,10030,-0.87
37998,38140,37880,13070,0.47
28539,28575,28403,9080,0.07
124299,125287,123401,58528,0.0
28787,28874,28633,12740,-0.65
30392,30416,30122,13680,-0.72
